iter	Passed	Remaining
637	1367	775
638	1368	773
639	1370	770
640	1372	768
641	1373	765
642	1374	763
643	1376	760
644	1377	758
645	1379	755
646	1380	753
647	1381	750
648	1382	747
649	1384	745
650	1385	742
651	1387	740
652	1388	737
653	1389	735
654	1391	732
655	1392	730
656	1393	727
657	1395	725
658	1396	722
659	1398	720
660	1400	718
661	1401	715
662	1403	713
663	1404	710
664	1405	708
665	1406	705
666	1408	703
667	1409	700
668	1411	698
669	1412	695
670	1413	693
671	1415	690
672	1416	688
673	1417	685
674	1419	683
675	1420	680
676	1421	678
677	1422	675
678	1424	673
679	1425	670
680	1427	668
681	1428	666
682	1429	663
683	1430	661
684	1432	658
685	1433	656
686	1434	653
687	1435	651
688	1437	648
689	1438	646
690	1440	644
691	1442	642
692	1443	639
693	1445	637
694	1446	634
695	1448	632
696	1449	630
697	1450	627
698	1452	625
699	1453	623
700	1455	620
701	1457	618
702	1459	616
703	1461	614
704	1463	612
705	1464	609
706	1466	607
707	1467	605
708	1469	602
709	1470	600
710	1472	598
711	1473	596
712	1475	593
713	1476	591
714	1477	588
715	1478	586
716	1480	584
717	1481	581
718	1482	579
719	1484	577
720	1485	575
721	1487	572
722	1488	570
723	1489	567
724	1490	565
725	1492	563
726	1493	560
727	1495	558
728	1497	556
729	1498	554
730	1500	552
731	1502	549
732	1503	547
733	1505	545
734	1506	543
735	1507	540
736	1509	538
737	1510	536
738	1512	534
739	1513	531
740	1514	529
741	1516	527
742	1518	525
743	1519	522
744	1521	520
745	1522	518
746	1524	516
747	1525	514
748	1527	511
749	1528	509
750	1530	507
751	1531	505
752	1533	503
753	1534	500
754	1536	498
755	1538	496
756	1539	494
757	1541	492
758	1542	489
759	1544	487
760	1546	485
761	1547	483
762	1548	481
763	1550	478
764	1551	476
765	1552	474
766	1554	472
767	1555	469
768	1557	467
769	1558	465
770	1559	463
771	1561	461
772	1562	458
773	1564	456
774	1565	454
775	1567	452
776	1570	450
777	1572	448
778	1574	446
779	1576	444
780	1579	442
781	1581	440
782	1584	438
783	1587	437
784	1591	435
785	1595	434
786	1598	432
787	1599	430
788	1601	428
789	1603	426
790	1604	424
791	1606	421
792	1607	419
793	1609	417
794	1611	415
795	1613	413
796	1614	411
797	1616	409
